count	reward_sum	squared_reward_sum	length
0	-116.93701759999905	10006.346312419071	72
1	-118.67643117727998	10006.293316358522	82
2	-118.01124302696763	10008.725231508693	54
3	-119.47400975867815	10007.709356154808	116
4	-67.61110914347519	10.427070577683038	2000
5	-137.72157671249585	10007.228446913197	1396
6	-101.12897744239622	10002.671295718488	65
7	-100.95891312768521	10003.49647064391	81
8	-96.96083809149177	10004.007292292115	92
9	-116.37073012767127	10008.467291948806	57
10	-99.44076393402644	10004.531268881597	62
11	-103.43918881457572	10001.202143839844	69
12	-73.29663229287742	12.330366057495334	2000
13	-73.83982589548678	13.231020213216214	2000
14	-114.07262628080106	10003.509237970295	77
15	-116.94549224461632	10005.054976965068	111
16	-106.71328203818388	10003.462027773672	110
17	-99.18565087948491	10003.991009403073	69
18	-100.8673651098877	10002.255187970406	71
19	-111.90585460381583	10004.141515848703	55
20	-100.21613445907009	10003.494009095788	89
21	-75.11110340406051	14.93307706992467	2000
22	-96.6622376921911	10004.515056717302	166
23	-98.47897261761176	10001.631200426888	59
24	-75.16173812315746	14.649926669407227	2000
25	-72.83847279959424	9.978769530310348	2000
26	-72.32582400228607	10.181117838125235	2000
27	-71.457512379937	12.530405202646397	2000
28	-66.65707739594177	9.090626148292433	2000
29	-100.42565696953407	10004.816370726561	56
30	-100.45993304090791	10004.983026293503	54
31	-101.78993234772918	10003.858785082426	58
32	-110.98097435464585	10003.826452885338	39
33	-103.07749833157786	10003.006924107058	63
34	-155.86873308972204	10009.614923088835	1709
35	-100.18775510735841	10001.714213060674	62
36	-100.39813851720731	10002.36400211663	59
37	-100.76024526022786	10001.791342142156	58
38	-100.99253933797425	10002.09727318981	66
39	-98.62155268305423	10005.253996534995	75
40	-99.14647715112831	10000.995867690723	74
41	-100.25489354346662	10002.818383007667	68
42	-101.45202466197405	10001.05049250887	68
43	-102.08449225983505	10001.583948070564	82
44	-100.30163105368614	10002.589949903411	61
45	-101.35429019833838	10002.279441488196	81
46	-100.6065068835582	10000.963425489994	65
47	-101.60364275641119	10005.677046439778	64
48	-102.07251115961807	10000.388229103275	59
49	-103.16721867507681	10000.506173241178	55
50	-102.53216139474807	10000.673842279824	64
51	-101.57529975373934	10000.52356250811	61
52	-103.00319687513961	10000.687793956658	56
53	-102.55376331027767	10000.393341816694	60
54	-102.50309567489289	10000.51435013681	64
55	-103.68702988474567	10000.711957611667	78
56	-103.12760301464208	10000.493893595034	76
57	-100.31239965400216	10000.748426746977	68
58	-100.36044602118743	10000.624356217802	78
59	-100.34725026528189	10000.594474526377	81
60	-103.47869902032373	10000.745028695494	58
61	-101.81303476656419	10001.48011396506	105
62	-99.28599468500958	10001.838960340558	70
63	-98.11232511964256	10005.26282859749	86
64	-97.93173517731687	10004.010383978464	89
65	-96.74440693215126	10002.22967882321	95
66	-99.05325009675417	10001.961997671882	104
67	-102.39230220582685	10001.997693999181	223
68	-113.00715960590544	10006.464483718622	466
