count	reward_sum	squared_reward_sum	length
0	-116.93701786920428	10006.346312699801	72
1	-118.67643093504012	10006.293316199879	82
2	-118.01124308630824	10008.72523158438	54
3	-119.47400996368378	10007.70935643866	116
4	-67.61110795944114	10.427070547770242	2000
5	-137.7215761776315	10007.228446871051	1396
6	-101.12897736672312	10002.671295723912	65
7	-100.95891289785504	10003.496470648222	81
8	-96.96083791460842	10004.00729230324	92
9	-116.37072994560003	10008.467291862264	57
10	-99.44076381623745	10004.531269016883	62
11	-103.43918887991458	10001.202143855142	69
12	-73.2966313653742	12.330366013837113	2000
13	-73.8398247124278	13.23102014411152	2000
14	-114.0726260477677	10003.509237843291	77
15	-116.94549222011119	10005.054976981346	111
16	-106.71328201238066	10003.462027671008	110
17	-99.18565083667636	10003.991009303129	69
18	-100.86736515723169	10002.255187951832	71
19	-111.90585433319211	10004.141515628953	55
20	-100.21613451186568	10003.49400913993	89
21	-74.64608838432468	14.998617547534352	2000
22	-95.6223622187972	10002.460989353254	76
23	-73.20874242478749	12.6029141688012	2000
24	-113.73979837819934	10005.654054734698	59
25	-108.01304296171293	10002.82592775878	98
26	-101.54574104608037	10000.833888488276	85
27	-114.21678515709937	10004.804744653202	69
28	-98.81202776543796	10003.516663507418	83
29	-103.66543640056625	10002.111190363095	86
30	-113.82564088329673	10006.152497727737	55
31	-109.22966406214982	10004.88261845611	75
32	-72.32284386426909	10.325641737110933	2000
33	-98.71455876575783	10003.829914668198	88
34	-116.93612467637286	10008.243091167787	62
35	-104.54344349075109	10000.893462761258	65
36	-73.41650038893567	15.284726857994738	2000
37	-100.7730012498796	10001.775927650182	69
38	-73.9395673670806	11.693172267366974	2000
39	-119.25020423950627	10005.549031822886	111
40	-110.59974269941449	10003.876744995096	46
41	-110.95638645952567	10003.874723949446	62
42	-114.78103271778673	10003.76738199176	81
43	-83.42176226016204	7.216807297641381	2000
44	-109.95228493651501	10002.574008180938	116
45	-120.98595485735231	10006.800583944765	117
46	-110.37919016836496	10002.631935053889	97
47	-112.24187729447922	10003.828884351622	73
48	-110.34533135537485	10004.774854345349	155
49	-119.13938697823144	10005.661574253245	122
50	-101.69071409144824	10006.18395932207	129
51	-101.14499584312593	10005.234736200096	148
52	-104.80996035084654	10001.725698055046	70
53	-94.70564278258708	10002.59041232976	102
54	-92.08481170573073	10006.679277287567	148
55	-98.96325432106448	10002.086994583082	68
56	-103.0379466696162	10001.28325630652	70
57	-93.12990017964012	10003.773964764787	92
58	-93.81822430008306	10006.52256470373	110
59	-106.3088425579416	10001.74101223761	83
60	-93.78553011483788	10006.74711012187	123
61	-99.63012983297416	10006.298868956392	137
62	-95.19812243569052	10007.224484712326	127
63	-87.86335921038271	10008.60479958826	148
64	-94.31445063859003	10007.289496652083	129
65	-112.34780650795557	10002.744661938397	106
66	-94.90636225808987	10007.05621730475	143
67	-94.51910400278216	10006.04753682006	128
68	-96.21644158215808	10005.887898908835	95
69	-100.34718524637304	10004.788980025152	153
70	-93.6986612302719	10005.388979980045	103
71	-93.46644439821998	10005.168147679866	111
72	-93.04121378721712	10005.2441038516	114
73	-97.57048341696945	10005.997165074941	110
74	-98.68106637024013	10004.537143618223	92
75	-98.04555262261692	10004.234296913404	96
76	-92.52791430533213	10005.494452310359	110
77	-96.37810376460816	10004.570389015682	132
78	-96.66165873322095	10003.131991568322	68
79	-96.14671691621704	10003.509905238012	69
80	-98.49351146218146	10003.204687804759	69
81	-94.54652947010888	10005.242986366873	121
82	-100.66710649556745	10003.353779875793	54
83	-100.32114737677315	10003.532691605873	55
84	-101.1370149738724	10003.984978957686	56
85	-97.85947388486406	10002.978002014015	64
86	-100.09377352665871	10003.57191228739	57
87	-100.11977107329407	10003.536832578646	59
88	-100.73612902410468	10003.585582486448	55
89	-92.91651121633765	10004.453308993623	77
90	-99.82036570714251	10003.239266026765	66
91	-100.44628224961279	10003.751213333033	57
92	-94.25184644413144	10005.425311954075	130
93	-98.06001224074954	10003.421366186389	61
94	-91.00582975216122	10005.288685492178	82
95	-96.96159608481679	10003.815386187985	89
96	-90.19076929849044	10004.937469095694	100
97	-97.2171191383959	10003.711806965863	101
98	-96.05675024106867	10004.328514467286	79
99	-99.03230714415193	10003.487767175244	66
