count	reward_sum	squared_reward_sum	length
0	-116.03088522329926	10005.97809229623	69
1	-100.33647542865947	10004.892868983046	130
2	-61.632965164550114	12.793010307849771	2000
3	-97.46268437663093	10002.656177496061	95
4	-70.87769717292394	14.279609779860321	2000
5	-72.586048107245	16.248738719098075	2000
6	-65.12572311802069	14.368389085859821	2000
7	-98.92234482988715	10004.907873013168	110
8	-66.57764090033015	11.02625416687997	2000
9	-100.53015272784978	10004.70974743221	102
10	-67.41515141399577	13.18425180335215	2000
11	-101.19127726368606	10002.005340356249	80
12	-110.73908216040581	10003.17846712539	63
13	-109.83664535544813	10002.938062610508	48
14	-66.68024442973547	9.871575580489624	2000
15	-61.978251405991614	11.934422970173996	2000
16	-118.24383478658274	10009.942096553996	66
17	-121.04763809009455	10006.857369505382	100
18	-98.15859577059746	10004.776126038018	88
19	-65.03824675979558	12.125696843417359	2000
20	-110.28005764819682	10002.277096453692	67
21	-135.79211656533442	10008.453009670346	1146
22	-149.12184027804489	10011.610288584257	1433
23	-104.1930641995649	10005.26712696774	507
24	-111.40765179475024	10004.33104277614	109
25	-110.80332598753036	10003.361788522192	101
26	-85.82265561135677	9.554434638175264	2000
27	-77.81927901548224	6.016235833078233	2000
28	-89.92894467200202	10003.247515238829	134
29	-114.93596127088539	10004.99492496423	70
30	-94.63123018842269	10003.123405101345	166
31	-121.71459448281563	10007.179494507729	136
32	-94.7282190819835	10002.716566386445	141
33	-93.6440531801827	10003.49094628056	151
34	-93.25797930379417	10002.550666902545	160
35	-94.34622753086418	10003.709799191598	323
36	-93.54775587018727	10001.84821904756	132
37	-106.09947561950804	10001.141829558237	51
38	-91.74424260671651	10002.514307060006	128
39	-109.64692557367563	10003.399586832073	60
40	-98.19287046817688	10001.488799945984	76
41	-99.77598885368776	10001.184558250998	84
42	-92.64512814994171	10002.679232951607	141
43	-89.31311947475109	10003.795896514557	140
44	-103.4217353298705	10000.682412329903	110
45	-101.26260564179364	10000.530520037417	73
46	-114.04907938232313	10004.53627909255	81
47	-94.37227467644773	10002.957200814652	98
48	-101.20147167838891	10000.775618884507	77
49	-93.74809879091364	10003.67255217389	123
50	-93.2783945516486	10002.963734839499	89
51	-101.70214104217797	10000.56997694405	83
52	-99.9639600944869	10001.33366854375	127
53	-101.0832079630698	10000.921988040585	121
54	-103.47227870561086	10001.029651091343	88
55	-103.48878948482078	10000.530528415564	58
56	-100.85277242821225	10001.921721656498	116
57	-97.59606328139529	10001.88402047122	94
58	-96.66502167934547	10001.871163650707	121
59	-96.33097878477301	10004.616427641913	135
60	-97.86586071619023	10001.844391275212	98
61	-99.7469682383048	10000.828428416233	110
62	-108.13050468032564	10003.407998503728	176
63	-97.65305739393243	10004.086816774461	113
64	-101.17704926228261	10002.279311064405	86
65	-101.38402027203365	10002.596888248232	101
66	-95.06602575439258	10004.36265072785	134
67	-99.68947385442605	10002.658427513206	77
68	-98.85322119073281	10001.894536040129	119
69	-100.958191391757	10001.698904820589	68
70	-99.1149413193311	10001.27175415408	71
71	-98.28144952795039	10001.59559676297	95
72	-100.08575364053051	10001.664777360533	72
73	-105.41968931094934	10002.49201454504	212
74	-95.91012168428787	10003.488262491557	103
75	-99.76066861101911	10000.988352753913	81
76	-98.37113543771908	10002.699909604615	80
77	-98.77523960573356	10002.121585846146	73
78	-103.01788259123893	10000.8644740833	59
79	-103.56289224871264	10001.106428801406	59
80	-101.56039373170996	10002.13207827078	73
81	-99.7604113366526	10001.407814528235	66
82	-102.14690706498457	10001.25235531579	63
83	-96.24284501477977	10002.779263571749	97
84	-101.92560757641391	10001.940982893511	67
85	-100.82423190678875	10001.541640868878	97
86	-100.14428390315003	10001.52439527155	98
87	-100.42817893702912	10002.904708552689	83
88	-92.11084613056697	10003.92481343603	118
89	-90.0641542667522	10006.033511328693	109
90	-114.2000241203078	10003.085088678152	90
91	-94.81250895915048	10003.46074317022	94
92	-89.16600467956876	10006.112187636118	118
93	-98.32886089742861	10004.27051890514	76
94	-94.02536823648366	10003.9693751889	101
95	-98.7195503592599	10003.064921016174	86
